,released,NEED RE,order #,PO #,quantity,thick,width,length,grade,mill,frt,Total,,,,
BI,18-Sep,,61500,87805,14,2,4,12,2p,475,,,,,,
BFS,13-Sep,,61503,26640195,22,2,4,8,3,376,44,420,,,,
BFS,13-Sep,,61504,26640200,22,2,4,8,3,376,44,420,,,,
BFS,2-Oct,,61505,26640176,17,2,4,10,3,401,44,445,,,,
BFS,14-Nov,,61506,26640177,17,2,4,10,3,336,44,380,,,,
SUNBELT SEPT,19-Sep,,61507,9711-09,46,2,6,8,2PH,,,,,,,
SUNBELT SEPT,19-Sep,,61508,9712-09,46,2,6,8,2PH,,,,,,,
SUNBELT SEPT,2-Oct,,61509,9416-09,46,2,6,8,2PH,,,,,,,
SUNBELT SEPT,19-Sep,,61510,9713-09,36,2,6,10,2PH,,,,,,,
SUNBELT SEPT,27-Sep,,61511,9714-09,36,2,6,10,2PH,,,,,,,
SUNBELT SEPT,,,61512,9715-09,36,2,6,10,2PH,,,,,,,
SUNBELT SEPT,27-Sep,,61513,9192-09,30,2,6,12,2PH,,,,,,,
SUNBELT SEPT,SEPT/28/,,61514,9193-09,30,2,6,12,2PH,,,,,,,
SUNBELT SEPT,SEPT/28/,,61515,9417-09,30,2,6,12,2PH,,,,,,,
BARNETT CRAIG MIC,1-Oct,,61517,170948,15,2,6,12,2,360,70,430,,,,
BARNETT CRAIG MIC,,,61516,170747,14,2,4,12,2,460,70,530,,,,
BRIDGE,13-Sep,,61518,834358,9,2,6,116,2,440,,,,,,
,,,,,9,2,4,116,2,455,,,,,,
BRIDGE ASSEM,,,61502,833917,16,2,6,122-5/8,2,430,16,446,,,,
BRIDGE COVING,,,61455,834876,16,2,6,124-5/8,2,383,42,425,,,,
RICHMOND,,,61478,88067,14,2,4,12,2,465,42,507,,,,
BRIDGE ASSEMBLEDGE,,,61501,833916,21,2,6,104,2,500,16,,,,,
 BFS FREE,18-Sep,,61552,26646812,17,2,4,10,2,467,18,485,,,,
SHELTER  HOOVER,,,61551,1347023,21,2,6,106-1/4,2,487,45,532,,,,
STRING,,,61527,2096510,21,2,6,9,4,250,,,,,,
CLARK,,,61529,19609,25,2,4,7,2,410,44,,,,,
CLARK,21-Sep,,61530,19610,25,2,4,7,2,410,44,,,,,
CLARK,,,61531,19636,25,2,4,7,2,410,44,,,,,
BIG BEND,,,61532,TRAVIS,1,2,6,12,2P,400,,,,,,
,,,,,1,2,4,12,2P,475,,,,,,
,,,,,2,2,4,10,2p,485,,,,,,
,,,,,1,2,4,8,3,385,,,,,,
BUILDERS PANAMA1173511733:11741,,,61550,26592488,21,2,6,104,1,510,16,526,,,,
Tristate to Atlanta ,on hold ,,61521,spr35506,23,2,6,92.5,2,320,42,362,,,,
Tristate to Atlanta,on hold ,,61522,spr35507,23,2,6,92.5,2,320,42,362,,,,
Tristate to Atlanta,,61523,5954,spr35508,22,2,4,92.5,2,422,40,462,,,,
Tristate to Atlanta,21-Nov,,61524,spr35509,22,2,4,92.5,2,420,42,462,,,,
Tristate to Atlanta,18-Dec,,61525,spr35510,22,2,4,92.5,2,420,42,462,,,,
Tristate to Atlanta,to/28/,,61526,spr35511,22,2,4,92.5,2,420,42,462,,,,
eightyfour st lucy,,,61528,13724,7,2,4,104,2,,,,,,,
,,,,,3,2,6,92.5,2,,,,,,,
,,,,,,,,,,,,,,,,
MILLING,,,61622,124579,21,2,6,9,4,250,,,,,,
MILLING,,,61623,124580,2,2,6,12,3,,,,,,,
,,,,,13,2,6,12,4,,,,,,,
WOODLANDS-amelia,19-Sep,1241AC,61627,49365,14,2,4,12,2,480,42,,,,,
ROBBINS,24-Sep,,61631,22101156,21,2,6,104,2,478,42,520,,,,
ROBBINS,25-Sep,,61632,22101160,21,2,6,104,2,478,42,520,,,,
ROBBINS,,,61633,22101161,21,2,6,103,2,478,42,520,,,,
ROBBINS,20-Sep,,61634,22101162,21,2,6,104,2,478,42,520,,,,
ROBBINS,,,61635,22101163,21,2,6,103,2,478,42,520,,,,
GSWP,20-Sep,,61636,1299180109,15,2,6,12,2P,,,,,,,
UFPI ,28-Sep,,61533,22109720,11,2,4,8,2,400,,,,,,
,,,,,6,2,4,10,2,470,,,,,,
,,,,,2,2,4,12,2,485,,,,,,
BFS,,,61638,26592489,9,2,4,116,2p,474,16,490,,,,
,,,,,9,2,6,116,2p,459,16,475,,,,
MILLING ,,,61645,124581,1,2,4,8,4,,,,,,,
,,,,,3,2,4,10,4,,,,,,,
,,,,,2,2,4,12,4,,,,,,,
,,,,,1,2,4,8,KW,370,,,,,,
,,,,,2,2,4,10,KW,395,,,,,,
,,,,,2,2,4,12,KW,395,,,,,,
,,,,,5,2,6,12,4,,,,,,,
MILLING ,,,,124582,4,2,6,10,3,,,,,,,
,,,,,2,2,6,12,3,,,,,,,
,,,,,7,2,6,10,4,,,,,,,
,,,,,2,2,4,4,RD,,,,,,,
,,,,,3,2,6,12,4,,,,,,,
SMT,2-Oct,,61652,29827,20,2,4,9,4,275,,,,,,
BFS,,,61648,26592714,10,2,4,104,1,560,16,576,,,,
,,,,,10,2,6,104,1,500,16,516,,,,
Mac South Mableton,Tampa direct ship,,61537,15833-A,20,2,4,104,2,528,42,570,,,,
Mac South Mableton,,,61538,15833-B,20,2,4,104,2,528,42,570,,,,
,,,,,0,2,6,104,2,490,42,532,,,,
Mac South Mableton,,,61539,15833-C,10,2,4,104,2,528,42,570,,,,
,,,,,10,2,6,104,2,490,42,532,,,,
Mac South Mableton,,,61540,15833-D,10,2,4,104,2,528,42,570,,,,
,,,,,10,2,6,104,2,490,42,532,,,,
Mac South Mableton,,,61541,15833-E,10,2,4,104,2,528,42,570,,,,
,,,,,10,2,6,104,2,490,42,532,,,,
Mac South Mableton,,,61542,15833-F,10,2,4,104,2,528,42,570,,,,
,,,,,10,2,6,104,2,490,42,532,,,,
CHEROKEE ESSEX,,,61833,176-16,20,2,4,104,2,478,42,520,,,,
CHEROKEE ESSEX,,,61834,176-17,20,2,4,104,2,478,42,520,,,,
CHEROKEE ESSEX,8-Jul,,61835,176-18,20,2,4,104,2,478,42,520,,,,
CHEROKEE ESSEX,8-Jul,,61836,176-19,20,2,4,104,2,478,42,520,,,,
CHEROKEE ESSEX,9-Jul,,61837,176-20,20,2,4,104,2,478,42,520,,,,
CHEROKEE ESSEX,,,61838,176-21,20,2,4,104,2,478,42,520,,,,
CHEROKEE ESSEX,,,61839,176-22,20,2,4,104,2,478,42,520,,,,
CHEROKEE ESSEX,12-Jul,,61840,176-23,20,2,4,104,2,478,42,520,,,,
CHEROKEE ESSEX,12-Jul,,61841,176-24,20,2,4,104,2,478,42,520,,,,
CHEROKEE ESSEX,12-Jul,,61842,176-25,20,2,4,104,2,478,42,520,,,,
CHEROKEE ESSEX,,,61843,176-26,20,2,4,104,2,478,42,520,,,,
CHEROKEE ESSEX,,,61844,176-27,20,2,4,104,2,478,42,520,,,,
CHEROKEE ESSEX,,,61845,176-28,20,2,4,104,2,478,42,520,,,,
CHEROKEE ESSEX,22-Jul,,61846,176-29,20,2,4,104,2,478,42,520,,,,
CHEROKEE ESSEX,22-Jul,,61847,176-30,20,2,4,104,2,478,42,520,,,,
CHEROKEE ESSEX,,,61848,176-31,20,2,4,104,2,478,42,520,,,,
CHEROKEE ESSEX,,,61849,176-32,20,2,4,104,2,478,42,520,,,,
CHEROKEE ESSEX,,,61850,176-33,20,2,4,104,2,478,42,520,,,,
CHEROKEE ESSEX,,,61851,176-34,21,2,6,104,2,438,42,480,,,,
CHEROKEE ESSEX,1-May,,61852,176-35,21,2,6,104,2,438,42,480,,,,
CHEROKEE ESSEX,6-May,,61853,176-36,21,2,6,104,2,438,42,480,,,,
CHEROKEE ESSEX,,,61854,176-37,21,2,6,104,2,438,42,480,,,,
CHEROKEE ESSEX,,,61855,176-38,21,2,6,104,2,438,42,480,,,,
CHEROKEE ESSEX,12-Jul,,61856,176-39,21,2,6,104,2,438,42,480,,,,
CHEROKEE ESSEX,12-Jul,,61857,176-40,21,2,6,104,2,438,42,480,,,,
CHEROKEE ESSEX,,,61858,176-41,15,2,6,128-5/8,2,348,42,390,,,,
CHEROKEE ESSEX,,,61859,176-42,15,2,6,128-5/8,2,348,42,390,,,,
CHEROKEE ESSEX,,,61860,176-43,15,2,6,128-5/8,2,348,42,390,,,,
CHEROKEE ESSEX,,,61861,176-204,10,2,4,104,2,450,42,492,,,,
,,,,,10,2,6,104,2,400,42,442,,,,
CHEROKEE ESSEX,,,61871,176-205,21,2,4,104,2,450,42,492,,,,
CHEROKEE ESSEX,,,61862,176-45,14,2,4,128-5/8,2,448,42,490,,,,
changing to straight 128-5/8,,,,,0,2,4,92.5,2,363,42,405,,,,
Cherokee,,,65236,176-50,14,2,4,128-5/8,2,380,42,422,,,,
CHEROKEE ESSEX,10-Jun,,61864,176-46,14,2,4,12,2,448,42,490,,,,
CHEROKEE ESSEX,10-Jun,,61865,176-47,14,2,4,12,2,448,42,490,,,,
CHEROKEE ESSEX,,,61866,176-48,14,2,4,12,2,448,42,490,,,,
CHEROKEE ESSEX,,,61867,176-49,14,2,4,12,2,448,42,490,,,,
CHEROKEE ESSEX,17-Jun,,61868,176-50,15,2,6,12,2,348,42,390,,,,
CHEROKEE ESSEX,,,61869,176-51,15,2,6,12,2,348,42,390,,,,
CHEROKEE ESSEX,10-Sep,,61870,176-52,15,2,6,12,2,348,42,390,,,,
CHEROKEE VINTAGE,,,61872,293-56,4,2,6,92.5,2,265,33,,,,,
,,,,,14,2,6,104,2,440,33,,,,,
,,,,,2,2,6,116,2,400,33,,,,,
CHEROKEE VINTAGE,,,61873,293-57,21,2,6,104,2,440,33,,,,,
CHEROKEE VINTAGE,,,61874,293-58,21,2,6,104,2,440,33,,,,,
CHEROKEE VINTAGE,,,61875,293-59,21,2,6,104,2,440,33,,,,,
WOODFORD ASAP,,,61814,03-048041,2,2,4,104,2,499,16,515,,,,
,,,,,6,2,4,116,2,469,16,485,,,,
,,,,,1,2,6,92.5,2,259,16,275,,,,
,,,,,6,2,6,104,2,439,16,455,,,,
,,,,,4,2,6,116,2,389,16,405,,,,
WOODFORD ASAP,,,61813,03-048036,4,2,4,116,2,470,20,490,,,,
,,,,,2,2,4,104,2,500,20,520,,,,
,,,,,4,2,6,116,2,400,20,420,,,,
,,,,,9,2,6,104,2,445,20,465,,,,
BI,,,61809,91201,20,2,4,104,2,484,,,,,,
BI,,,6523,91202,20,2,4,104,2,454,,,,,,
BI,,,61811,91208,4,2,4,116,2,464,,,,,,
,,,,,16,2,6,104,2,434,,,,,,
BI,,,61812,91203,20,2,4,104,2,484,,,,,,
BOISE,,,61807,MT60080,4,2,4,92.5,2,375,,,,,,
,,,,,6,2,4,116,2,470,,,,,,
,,,,,10,2,6,104,2,425,,,,,,
GREEN,,,5962,40858,20,2,6,104,2,440,28,468,,,,
GREEN,,,5963,40859,20,2,6,104,2,440,28,468,,,,
GREEN,,,5964,40860,20,2,6,104,2,440,28,468,,,,
GREEN,,,5965,40861,20,2,6,104,2,440,28,468,,,,
GREEN,,,5966,40862,20,2,6,104,2,440,28,468,,,,
GREEN,,,5967,40863,20,2,6,104,2,440,,,,,,
GREEN,,,5968,40864,10,2,4,104,2,530,,,,,,
,,,,,10,2,6,104,2,440,,,,,,
MILLING ,,,61876,124734,2,2,6,8,3,,,,,,,
,,,,,1,2,6,10,3,,,,,,,
,,,,,2,2,6,12,3,,,,,,,
,,,,,2,2,6,6,4,,,,,,,
,,,,,4,2,6,9,4,,,,,,,
,,,,,3,2,6,10,4,,,,,,,
,,,,,7,2,6,8,4,,,,,,,
MILLING ,,,61877,124735,2,2,4,8,KW,350,,,,,,
,,,,,10,2,4,8,4,,,,,,,
,,,,,8,2,6,8,4,,,,,,,
BFS,,,61878,26790876,22,2,4,8,2,335,60,395,,,,
RICHMOND ,30-Oct,,61882,27845,22,2,4,8,2,325,,,,,,
RICHMOND ,1-Nov,,61883,27846,22,2,4,8,2,325,,,,,,
RICHMOND ,8-Nov,,61884,27847,22,2,4,8,2,325,,,,,,
RICHMOND ,8-Nov,,61885,27848,22,2,4,8,2,325,,,,,,
RICHMOND ,27-Nov,,61886,27849,22,2,4,8,2,325,,,,,,
SHELTER bagged ,,,6091,1343127-00,20,2,4,104,2,480,30,510,,,,
Matheus,COMPLETE,,62063,71898170,18,2,6,110-3/4,2,385,40,425,,,,
Matheus,Complete,,62064,71898171,18,2,6,110-3/4,2,385,40,425,,,,
Matheus,,,62065,71898172,18,2,6,110-3/4,2,385,40,425,,,,
UFPI,,,61888,22136087,22,2,4,8,2P,338,,,,,,
UFPI,,,61889,22136106,22,2,4,8,2P,338,,,,,,
UFPI,,,61890,22136107,22,2,4,8,2P,338,,,,,,
UFPI,,,61891,22136108,22,2,4,8,2P,338,,,,,,
UFPI,,,61892,22136109,22,2,4,8,2P,338,,,,,,
SMT,2-Nov,,61926,31851,20,2,4,9,4,270,,,,,,
SMT,6-Nov,,61927,31852,20,2,4,9,4,270,,,,,,
TAMPA,31-Oct,,61894,66721,25,2,4,7,2,345,,,,,,
TAMPA,7-Nov,,61895,66722,25,2,4,7,2,345,,,,,,
TAMPA,7-Nov,,61896,66754,25,2,4,7,2,345,,,,,,
UFPI MARK ,,,6093,22136323,18,2,6,116,2,390,,,,,,
UFPI MARK ,,,6094,22136324,18,2,6,116,2,390,,,,,,
UFPI MARK ,,,61906,22136322,17,2,4,116,2,445,,,,,,
MILLING ,,,61899,124736,20,2,4,8,3,300,,,,,,
MILLING ,,,61902,124737,10,2,4,12,3,350,,,,,,
,,,,,2,2,4,8,kw,305,,,,,,
,,,,,2,2,4,10,kw,350,,,,,,
,,,,,1,2,4,8,3,300,,,,,,
MILLING ,,,61903,124738,1,2,4,10,4,,,,,,,
,,,,,4,2,4,12,4,,,,,,,
,,,,,6,2,4,12,kw,350,,,,,,
,,,,,3,2,6,10,3,,,,,,,
,,,,,1,2,6,8,3,,,,,,,
,,,,124892--124911,,,,,,,,,,,,
MACSOUTH,,,61879,15991,21,2,6,104,2,420,80,500,,,,
MACSOUTH,,,61880,15991,21,2,6,104,2,420,80,500,,,,
UFPI,,,61888,22136087,22,2,4,8,2p,338,,,,,,
UFPI,,,61889,22136106,22,2,4,8,2p,338,,,,,,
UFPI,,,61890,22136107,22,2,4,8,2p,338,,,,,,
UFPI,,,61891,22136108,22,2,4,8,2p,338,,,,,,
UFPI,,,61892,22136109,22,2,4,8,2p,338,,,,,,
UFPI,,,61893,22136139,23,2,6,8,1,270,,,,,,
SEA ,7-Nov,,61897,34033,25,2,4,7,2,320,40,360,,,,
SEA ,12-Nov,,61898,34034,25,2,4,7,2,320,40,360,,,,
GC,,,61904,4045310,9,2,4,104,2,480,45,525,,,,
,,,,,12,2,6,104,2,435,45,480,,,,
EIGHTYFOUR Garden,5-Nov,,62037,1J77571,17,2,4,104,2,475,44,519,,,,
,,,,,2,2,4,116,2,445,44,489,,,,
Clark cca,71468,,62038,19662,15,2,6,12,4,190,44,234,,,,
Timber rec,31-Oct,,61907,kp1138,15,2,6,12,4,190,,,,,,
BFS,,,61916,26790995,22,2,4,92.5,2,350,44,394,,,,
BLUE ,,,61905,asc 96144 z,11,2,4,92.5,2,351,44,395,,,,
,,,,,11,2,4,8,4,256,44,300,,,,
MARK 11-2,,,61909,22137845,20,2,6,104,2,415,40,455,,,,
SMT,7-Nov,,61911,31963,23,2,6,8,2,235,,,,,,
SMT,16-Nov,,61912,31964,23,2,6,8,2,235,,,,,,
SMT,26-Nov,,61913,31965,23,2,6,8,2,235,,,,,,
SMT,6-Dec,,61914,31966,23,2,6,8,2,235,,,,,,
BI,,,6103,91204,21,2,4,104,2,454,,,,,,
BI,,,6104,91205,21,2,4,104,2,454,,,,,,
BI,,,6105,91206,21,2,4,104,2,454,,,,,,
BI,,,6106,91207,21,2,4,104,2,454,,,,,,
IDAPAC,,,61915,21895076-021,20,2,4,100-5/8,2,465,44,509,,,,
BI  11-30,19-Nov,,61919,91684,31,2,6,6,2,245,,,,,,
BI,20-Nov,,61920,91685,23,2,6,8,2,235,,,,,,
BI,27-Nov,,61921,91686,23,2,6,8,2,235,,,,,,
BOISE,,,61922,MT60202,3,2,4,92.5,2,355,,,,,,
,,,,,10,2,6,8,2,250,,,,,,
,,,,,8,2,6,116,2,380,,,,,,
BFS,,,61910,26862461,21,2,6,104,2,439,16,,,,,
BRIDGE THOMAS,31-Oct,,6107,838839,21,2,6,104,2,435,,,,,,
GREEN TO KISS,,,6108,41232,20,2,4,104,2,415,80,495,,,,
BI,,,6103,91204,20,2,4,104,2,484,,,,,,
BI,,,6104,91205,20,2,4,104,2,484,,,,,,
BI,,,6105,91206,20,2,4,104,2,484,,,,,,
BI,,,6106,91207,20,2,4,104,2,484,,,,,,
Blue Dawn,,,61917,asc94068z,4,2,4,92.5,2,,,,,,,
,,,,,10,2,4,104,2,,,,,,,
,,,,,5,21,4,116,2,,,,,,,
Timberline ,,,61918,60368,4,2,4,116,2,445,,,,,,
,,,,,11,2,6,116,2,385,,,,,,
,,,,,2,2,4,12,2,295,,,,,,
BFS,,,61923,26876550,14,2,4,12,2,407,33,440,,,,
MILLING,,,61924,124892,4,2,6,10,4,,,,,,,
,,,,,8,2,4,10,KW,350,,,,,,
,,,,,5,2,4,8,KW,305,,,,,,
MILLING ,,,61925,124893,9,2,6,10,4,,,,,,,
,,,,,7,2,6,10,3,,,,,,,
,,,,,2,2,6,6,4,,,,,,,
,,,,,1,2,4,6,4,,,,,,,
SMT,,,62041,32123,14,2,4,12,3,332,18,350,,,,
smt,7-Nov,,62039,32131,20,2,4,9,4,270,,,,,,
smt,14-Nov,,62040,32132,20,2,4,9,4,270,,,,,,
Boise,,,61930,MT60242,8,2,6,8,2,250,,,,,,
,,,,,12,2,4,104,2,460,,,,,,
String,,,6399,2097201,14,2,4,122-5/8,2,435,,,,,,
String,,,62089,2097204,15,2,6,122-5/8,2,355,,,,,,
String,,,62090,2097206,15,2,6,134-5/8,2,355,,,,,,
String,,,6114,2097202,15,2,4,134-5/8,2,435,,,,,,
String,,,6115,2097203,15,2,4,134-5/8,2,435,,,,,,
AIFP,5-Nov,,62006,18791,11,2,6,8,2,250,,,,,,
,,,,,7,2,6,12,2,305,,,,,,
Bridge ,,,61929,839221,12,2,4,92.5,2,350,,,,,,
,,,,,12,2,6,92.5,2,260,,,,,,
Cherokee,,,6122,509-104,20,2,4,104,2,,,,,,,
viking,13-Nov,,62036,56181,15,2,6,12,2,305,,,,,,
,,TRUCKS,PACKS,,PCS,,,,,,,,,,,
SUNCOAST FOLEY,,13.6,272,175503,"56,576",2,4,104,2,475,30,505,,,,
wrapped,,6,128,,"16,384",2,6,104,2,445,30,475,,,,
,,,,,5,2,6,116,2,,,,,,,
SUNCOAST FOLEY paper,,,62504,187584,11,2,4,104,2,475,30,505,,,,
,,,,,9,2,6,104,2,445,30,475,,,,
SUNCOAST FOLEY paper,,,62505,189173,17,2,4,104,2,475,30,505,,,,
,,,,,3,2,6,104,2,445,30,475,,,,
SUNCOAST FOLEY paper,,,62506,187585,11,2,4,104,2,475,30,505,,,,
,,,,,9,2,6,104,2,445,30,475,,,,
SUNCOAST FOLEY paper,,,62507,190017,20,2,4,104,2,480,25,505,,,,
SUNCOAST FOLEY paper,,,62508,175503-5,17,2,4,104,2,475,30,505,,,,
,,,,,4,2,6,104,2,445,30,475,,,,
SUNCOAST FOLEY paper,11-Sep,,62509,191891,11,2,4,104,2,475,30,505,,,,
,,,,,9,2,6,104,2,,,,,,,
SUNCOAST FOLEY paper,12-Sep,,62510,191982,19,2,4,104,2,475,30,505,,,,
,,,,,1,2,6,104,2,445,30,475,,,,
SUNCOAST FOLEY paper,,,62511,175503-8,2,2,4,104,2,475,58,533,,,,
,,,,,8,2,6,104,2,445,58,503,,,,
SUNCOAST FOLEY paper,,,62512,194258,15,2,4,104,2,475,30,505,,,,
,,,,,3,2,6,104-5/8,2,445,30,475,,,,
SUNCOAST FOLEY paper,,,62513,175503-10,11,2,4,104,2,475,30,505,,,,
,,,,,9,2,6,104,2,445,30,475,,,,
SUNCOAST FOLEY paper,5-Dec,,62514,197403,15,2,4,104,2,475,30,505,,,,
,,,,,5,2,6,104,2,445,30,475,,,,
SUNCOAST FOLEY paper,16-Dec,,62515,198023,14,2,4,104,2,475,30,505,,,,
,,,,,6,2,6,104,2,445,30,475,,,,
SUNCOAST FOLEY paper,,,62516,199212,20,2,4,104,2,475,30,505,,,,
SUNCOAST FOLEY paper,,,62517,175503-14,20,2,4,104,2,475,93,568,,,,
SUNCOAST mandeville la,,,62518,175503-15,1,2,6,104,2,433,42,475,,,,
,,,,,19,2,4,104,2,,42,,,,,
SUNCOAST FOLEY paper,,,62519,175503-16,2,2,6,104,2,428,47,475,,,,
,,,,,15,2,4,104,2,458,47,505,,,,
SUNCOAST FOLEY paper,,,62520,175503-17,21,2,6,104,2,445,30,475,,,,
SUNCOAST FOLEY paper,,,62521,175503-18,21,2,6,104,2,445,30,475,,,,
SUNCOAST FOLEY paper,,,62522,175503-19,21,2,6,104,2,445,30,475,,,,
SUNCOAST FOLEY paper,,,62523,175503-20,21,2,6,104,2,445,30,475,,,,
panama ,,,62025,110518,9,2,4,8,3,305,,,,,,
,,,,,2,2,6,10,3,240,,,,,,
SHELTER ECCO,,,62024,1347035-00,9,2,4,118-1/4,2,448,42,490,,,,
,,,,,5,2,4,118-1/4,1,468,42,510,,,,
,,,,,3,2,6,118-1/4,1,358,42,400,,,,
GREEN sara,,,61964,41292,20,2,4,104,2,460,,,,,,
GREEN sara,,,61965,41293,20,2,4,104,2,460,,,,,,
GREEN,,61966,6119,41294,20,2,4,104,2,460,,,,,,
GREEN,,61967,6120,41295,20,2,4,104,2,460,,,,,,
GREEN,,61968,6121,41296,20,2,4,104,2,460,,,,,,
GREEN,,,61969,41297,20,2,4,104,2,460,,,,,,
GREEN,,,61970,41298,20,2,4,104,2,460,,,,,,
GREEN,,61971,6505,41299,20,2,4,104,2,460,,,,,,
GREEN,,61972,6506,41300,20,2,4,104,2,460,,,,,,
GREEN,,61973,6507,41301,20,2,4,104,2,460,,,,,,
GREEN,,61974,6508,41302,20,2,4,104,2,460,,,,,,
GREEN,28-Nov,,61975,41303,20,2,4,104,2,460,43,503,,,,
GREEN,28-Nov,,61976,41304,20,2,4,104,2,460,45,505,,,,
GREEN,,,61977,41305,20,2,4,104,2,460,,,,,,
GREEN,,,61978,41306,20,2,4,104,2,460,,,,,,
GREEN,,,61979,41307,20,2,4,104,2,460,,,,,,
GREEN,,,61980,41308,20,2,4,104,2,460,,,,,,
GREEN,14-Dec,,61981,41309,20,2,4,104,2,460,,,,,,
GREEN,14-Dec,,61982,41310,20,2,4,104,2,460,,,,,,
GREEN,14-Dec,,61983,41311,20,2,4,104,2,460,,,,,,
GREEN,9-Jan,,61984,41312,20,2,4,104,2,460,,,,,,
GREEN,9-Jan,,61985,41313,20,2,4,104,2,460,,,,,,
GREEN,9-Jan,,61986,41314,20,2,4,104,2,460,,,,,,
GREEN,19-Feb,,61987,41315,20,2,4,104,2,460,,,,,,
GREEN,19-Feb,,61988,41316,20,2,4,104,2,460,,,,,,
GREEN,19-Feb,,61989,41317,20,2,4,104,2,460,,,,,,
GREEN,,,61990,41318,20,2,4,104,2,460,,,,,,
GREEN,,,61991,41319,20,2,4,104,2,460,,,,,,
GREEN,,,61992,41320,20,2,4,104,2,460,,,,,,
GREEN,,,61993,41321,20,2,4,104,2,460,,,,,,
GREEN,,,61994,41323,17,2,4,116,2,422,50,,,,,
GREEN,,,61995,41324,17,2,4,116,2,422,,,,,,
GREEN,16-Oct,,61996,41325,14,2,4,12,2,410,,,,,,
GREEN,16-Oct,,61997,41326,14,2,4,12,2,410,,,,,,
GREEN,21-Oct,,61998,41327,14,2,4,12,2,410,,,,,,
GREEN,19-May,,61999,41328,14,2,4,12,2,410,,,,,,
GREEN,,,62000,41329,14,2,4,12,2,410,,,,,,
GREEN,,,62001,41330,14,2,4,12,2,410,,,,,,
GREEN,,,62002,41331,21,2,6,104,2,370,,,,,,
GREEN,,,62003,41332,21,2,6,104,2,370,,,,,,
GREEN,4-Feb,,62004,41333,15,2,6,12,2,310,,,,,,
GREEN,18-Oct,,62005,41334,15,2,6,12,2,310,,,,,,
Woodlands smyrna,,,61931,49489,20,2,4,104,2,460,,,,,,
Bridgewell Daytona,,,62007,839101,20,2,4,104,2,450,40,490,,,,
Bridgewell Daytona,,,62008,839102,20,2,4,104,2,450,40,490,,,,
Bridgewell Daytona 12-10,,,62009,839103,20,2,4,104,2,450,40,490,,,,
Bridgewell Daytona 12-26,,,62010,839104,20,2,4,104,2,450,40,490,,,,
Bridgewell Daytona 1-3,,,62011,839105,20,2,4,104,2,450,40,490,,,,
Bridgewell Daytona,,,62012,839106,20,2,4,104,2,450,40,490,,,,
Bridgewell Daytona,,,62013,839108,3,2,4,116,2,440,,,,,,
,,,,,17,2,4,104-5/8,2,450,,,,,,
Bridgewell Daytona,,,62014,839109,21,2,6,104,2,430,40,470,,,,
Bridgewell Daytona,29-Nov,,62015,839110,21,2,6,104,2,430,40,470,,,,
Bridgewell Daytona 12-10,30-Nov,,62016,839111,21,2,6,104,2,430,40,470,,,,
Bridgewell Daytona 12-10,,,62017,839112,21,2,6,104,2,430,40,470,,,,
Bridgewell Daytona 12-26,,,62018,839113,21,2,6,104,2,430,40,470,,,,
Bridgewell Daytona 1-3,,,62019,839114,21,2,6,104,2,430,40,470,,,,
Bridgewell Daytona,,,62020,839115,21,2,6,104,2,430,40,470,,,,
Bridgewell Daytona,,,62021,839116,21,2,6,104,2,430,40,470,,,,
Bridgewell Daytona,,,62022,839117,21,2,6,104,2,430,40,470,,,,
Bridgewell Daytona,,,62023,839118,4,2,6,116,2,400,40,440,,,,
,,,,,16,2,6,104,2,430,40,470,,,,
SEA,5-Dec,,62057,34621,23,2,6,8,2,250,,,,,,
SEA,12-Nov,,62058,34622,23,2,6,8,2,250,,,,,,
MILLING ,,,62042,124894,20,2,4,9,4,,,,,,,
MILLING ,,,62043,124895,4,2,4,10,4,,,,,,,
,,,,,11,2,4,12,4,,,,,,,
MILLING ,,,62044,124896,6,2,4,10,KW,350,,,,,,
,,,,,4,2,4,8,KW,305,,,,,,
,,,,,6,2,4,12,KW,350,,,,,,
MILLING ,,,62045,124897,14,2,4,12,KW,350,,,,,,
MILLING ,,,62046,124898,5,2,6,8,3,235,,,,,,
,,,,,18,2,6,8,4,,,,,,,
MILLING ,,,62047,124899,1,2,6,10,3,,,,,,,
,,,,,2,2,6,10,4,,,,,,,
,,,,,12,2,6,12,4,,,,,,,
MILLING ,,,62048,124900,22,2,4,8,3,300,,,,,,
progressive atlanta,,,62083,74251,14,2,4,12,2,415,40,455,,,,
BRIDGE ,,,6144,839496,14,2,4,12,2,415,40,455,,,,
BRIDGE ,,,6145,839498,14,2,4,12,2,415,40,455,,,,
BRIDGE ,,,6146,839499,14,2,4,12,2,415,40,455,,,,
BRIDGE ,,,6147,839500,14,2,4,12,2,415,40,455,,,,
BRIDGE ,,,6148,839501,14,2,4,12,2,415,40,455,,,,
WOODLANDS  12-3 ,,,6125,49486,22,3,4,104,2,490,80,570,,,,
SOUTHERN,,,62060,32328,24,2,4,6,2,325,,,,,,
,,,,,4,2,4,7,2,345,,,,,,
Richmond ,7-Nov,,62067,30351,17,2,4,10,2p,390,,,,,,
Richmond ,,,62068,30352,17,2,4,10,2p,390,,,,,,
Richmond ,,,62069,30353,17,2,4,10,2p,390,,,,,,
GREEN ST JOHNS,,,6127,41226,20,2,4,104,2,417,75,492,,,,
GREEN ST JOHNS,,,6128,41227,20,2,4,104,2,417,75,492,,,,
GREEN ST JOHNS,,,6129,41228,20,2,4,104,2,417,75,492,,,,
